User_ID,Book_ID,User_Type,Department,Book_Category,Book_Format,Interaction_Type,Access_Mode,Semester_Period,Borrowing_Frequency,Reading_Duration_Minutes,Books_Borrowed_Last_6_Months,Books_Returned_On_Time,Search_Count,Book_View_Count,Reservation_Count,Renewal_Count,User_Rating,Book_Popularity_Score,Metadata_Match_Score,Reading_Interest_Score,User_Book_Similarity_Score,Feedback_Score,Feedback_Level,Cold_Start_User,Irregular_Borrowing_Flag,Recommendation_Score,Recommendation_Level
USR_10053,BK_50053,Postgraduate,Management,Medical_Science,Printed_Book,Borrowed,Digital_Kiosk,Odd_Semester,1,93.22,24,6,35,3,17,4,1.01,0.971,0.105,0.193,0.383,0.827,High,No,No,0.362,Low_Recommendation
USR_10054,BK_50054,Undergraduate,Education,Artificial_Intelligence,Journal,Viewed,Mobile_App,Vacation_Period,8,117.9,16,4,80,70,7,8,4.61,0.682,0.724,0.146,0.703,0.14,Low,No,No,0.597,Medium_Recommendation
USR_10055,BK_50055,Postgraduate,Arts,Engineering,E_Book,Reviewed,Web_Portal,Odd_Semester,8,175.02,22,17,39,99,17,10,4.32,0.133,0.637,0.307,0.209,0.169,Low,No,No,0.622,Medium_Recommendation
USR_10056,BK_50056,Research_Scholar,Education,Literature,Journal,Borrowed,Digital_Kiosk,Odd_Semester,22,62.83,17,0,16,109,9,11,1.93,0.122,0.883,0.119,0.887,0.576,Medium,No,No,0.584,Medium_Recommendation
USR_10057,BK_50057,Research_Scholar,Science,Management,Printed_Book,Borrowed,Library_System,Even_Semester,44,115.93,9,8,5,65,16,2,2.87,0.367,0.868,0.744,0.63,0.35,Low,No,Yes,0.661,Medium_Recommendation
USR_10058,BK_50058,Undergraduate,Law,Management,Reference_Book,Renewed,Mobile_App,Odd_Semester,37,23.38,5,5,11,62,12,1,1.67,0.992,0.309,0.948,0.685,0.647,Medium,No,No,0.586,Medium_Recommendation
USR_10059,BK_50059,Postgraduate,Computer_Science,Social_Science,Printed_Book,Borrowed,Mobile_App,Vacation_Period,6,145.73,22,16,9,99,19,9,3.1,0.334,0.564,0.542,0.997,0.908,High,No,No,0.671,Medium_Recommendation
USR_10060,BK_50060,Undergraduate,Education,Law,Printed_Book,Viewed,Mobile_App,Odd_Semester,34,86.68,2,2,29,9,2,8,4.41,0.132,0.396,0.938,0.762,0.353,Low,No,Yes,0.474,Medium_Recommendation
USR_10061,BK_50061,Faculty,Management,Data_Science,E_Book,Reviewed,Digital_Kiosk,Odd_Semester,28,21.09,16,7,45,96,18,9,3.29,0.696,0.589,0.878,0.761,0.569,Medium,No,No,0.705,High_Recommendation
USR_10062,BK_50062,Research_Scholar,Engineering,Law,Printed_Book,Renewed,Library_System,Odd_Semester,42,26.2,26,5,60,7,4,10,4.85,0.519,0.891,0.105,0.838,0.306,Low,No,Yes,0.526,Medium_Recommendation
USR_10063,BK_50063,Undergraduate,Arts,Literature,E_Book,Reviewed,Mobile_App,Vacation_Period,4,116.67,3,1,60,64,12,2,1.51,0.355,0.117,0.375,0.856,0.453,Medium,Yes,No,0.42,Low_Recommendation
USR_10064,BK_50064,Postgraduate,Medicine,Artificial_Intelligence,Reference_Book,Borrowed,Mobile_App,Even_Semester,1,17.96,17,17,14,64,14,12,2.78,0.683,0.635,0.445,0.159,0.839,High,No,No,0.477,Medium_Recommendation
USR_10065,BK_50065,Research_Scholar,Management,Literature,E_Book,Reserved,Mobile_App,Even_Semester,5,170.42,2,12,39,15,10,3,4.36,0.796,0.307,0.486,0.881,0.967,High,Yes,No,0.561,Medium_Recommendation
USR_10066,BK_50066,Research_Scholar,Computer_Science,Medical_Science,Journal,Renewed,Library_System,Even_Semester,38,47.55,34,24,24,12,17,14,2.89,0.589,0.243,0.283,0.182,0.238,Low,No,No,0.547,Medium_Recommendation
USR_10067,BK_50067,Research_Scholar,Engineering,Medical_Science,Reference_Book,Viewed,Mobile_App,Vacation_Period,20,145.0,24,13,71,17,11,3,2.72,0.28,0.542,0.158,0.624,0.342,Low,No,No,0.484,Medium_Recommendation
USR_10068,BK_50068,Undergraduate,Computer_Science,Education,Printed_Book,Reserved,Mobile_App,Even_Semester,31,132.16,10,8,33,102,8,7,3.9,0.774,0.231,0.193,0.614,0.117,Low,No,No,0.651,Medium_Recommendation
USR_10069,BK_50069,Undergraduate,Management,Education,Reference_Book,Reserved,Digital_Kiosk,Odd_Semester,2,99.89,12,0,77,116,6,1,4.91,0.281,0.724,0.839,0.137,0.703,High,No,Yes,0.421,Low_Recommendation
USR_10070,BK_50070,Undergraduate,Science,Law,Journal,Borrowed,Mobile_App,Even_Semester,28,145.9,6,2,80,4,5,9,4.14,0.533,0.137,0.248,0.495,0.752,High,No,No,0.526,Medium_Recommendation
USR_10071,BK_50071,Undergraduate,Arts,Digital_Library,E_Book,Renewed,Web_Portal,Even_Semester,36,136.02,28,22,53,55,18,11,3.22,0.747,0.306,0.997,0.977,0.685,Medium,No,No,0.794,High_Recommendation
USR_10072,BK_50072,Undergraduate,Science,Artificial_Intelligence,Journal,Viewed,Library_System,Even_Semester,21,133.07,23,19,37,4,11,13,4.95,0.136,0.88,0.621,0.495,0.753,High,No,No,0.64,Medium_Recommendation
USR_10073,BK_50073,Postgraduate,Medicine,Engineering,Journal,Reserved,Web_Portal,Vacation_Period,12,74.02,17,7,21,15,0,2,4.1,0.465,0.642,0.669,0.436,0.561,Medium,No,Yes,0.363,Low_Recommendation
USR_10074,BK_50074,Postgraduate,Medicine,Education,Journal,Borrowed,Digital_Kiosk,Even_Semester,39,36.13,24,24,28,66,2,4,1.04,0.63,0.639,0.457,0.313,0.311,Low,No,No,0.488,Medium_Recommendation
USR_10075,BK_50075,Faculty,Management,Social_Science,Reference_Book,Borrowed,Library_System,Odd_Semester,20,109.12,11,0,57,64,19,11,1.15,0.763,0.697,0.527,0.86,0.825,High,No,No,0.673,Medium_Recommendation
USR_10076,BK_50076,Faculty,Engineering,Management,E_Book,Reserved,Library_System,Vacation_Period,37,169.1,28,0,35,70,4,4,1.35,0.193,0.626,0.719,0.458,0.532,Medium,No,Yes,0.523,Medium_Recommendation
USR_10077,BK_50077,Undergraduate,Computer_Science,Literature,Journal,Renewed,Mobile_App,Vacation_Period,44,99.55,22,12,52,80,17,9,3.93,0.246,0.27,0.758,0.241,0.311,Low,No,No,0.677,Medium_Recommendation
USR_10078,BK_50078,Undergraduate,Education,Literature,E_Book,Renewed,Mobile_App,Even_Semester,2,114.27,0,6,76,91,7,8,3.76,0.709,0.294,0.447,0.454,0.686,Medium,Yes,No,0.532,Medium_Recommendation
USR_10079,BK_50079,Undergraduate,Law,Law,Printed_Book,Reviewed,Web_Portal,Odd_Semester,11,159.1,3,1,19,70,1,1,4.51,0.385,0.882,0.438,0.367,0.684,Medium,No,No,0.546,Medium_Recommendation
USR_10080,BK_50080,Postgraduate,Education,Medical_Science,Journal,Viewed,Library_System,Odd_Semester,33,48.86,34,25,11,99,7,13,3.57,0.783,0.55,0.588,0.956,0.862,High,No,No,0.725,High_Recommendation
USR_10081,BK_50081,Undergraduate,Medicine,Medical_Science,E_Book,Reviewed,Web_Portal,Vacation_Period,43,139.56,5,5,43,109,20,6,2.72,0.907,0.164,0.959,0.689,0.442,Medium,No,No,0.806,High_Recommendation
USR_10082,BK_50082,Research_Scholar,Management,Management,Reference_Book,Reviewed,Digital_Kiosk,Even_Semester,27,167.89,27,2,8,16,9,3,3.87,0.46,0.979,0.841,0.57,0.211,Low,No,No,0.666,Medium_Recommendation
USR_10083,BK_50083,Research_Scholar,Education,Education,Printed_Book,Reserved,Library_System,Even_Semester,36,81.02,6,5,1,44,12,9,1.45,0.102,0.674,0.564,0.634,0.814,High,No,No,0.568,Medium_Recommendation
USR_10084,BK_50084,Undergraduate,Arts,Social_Science,Reference_Book,Borrowed,Mobile_App,Vacation_Period,37,59.95,23,18,60,39,9,8,1.38,0.661,0.507,0.628,0.251,0.763,High,No,No,0.539,Medium_Recommendation
USR_10085,BK_50085,Undergraduate,Science,Medical_Science,Journal,Renewed,Digital_Kiosk,Vacation_Period,2,117.73,1,8,25,2,2,6,3.78,0.464,0.485,0.462,0.723,0.992,High,Yes,Yes,0.338,Low_Recommendation
USR_10086,BK_50086,Faculty,Law,Medical_Science,Printed_Book,Viewed,Web_Portal,Odd_Semester,8,71.12,5,0,68,13,16,11,1.27,0.82,0.31,0.586,0.892,0.686,Medium,No,No,0.517,Medium_Recommendation
USR_10087,BK_50087,Research_Scholar,Science,Engineering,E_Book,Viewed,Mobile_App,Even_Semester,17,179.22,22,19,8,22,11,9,4.83,0.258,0.721,0.281,0.582,0.187,Low,No,No,0.618,Medium_Recommendation
USR_10088,BK_50088,Undergraduate,Law,Education,Reference_Book,Renewed,Digital_Kiosk,Even_Semester,45,28.61,4,3,65,30,20,3,3.49,0.18,0.78,0.215,0.843,0.804,High,No,Yes,0.537,Medium_Recommendation
USR_10089,BK_50089,Postgraduate,Arts,Data_Science,Printed_Book,Reviewed,Mobile_App,Vacation_Period,9,95.67,2,1,23,26,3,1,3.06,0.927,0.547,0.993,0.866,0.288,Low,No,Yes,0.433,Low_Recommendation
USR_10090,BK_50090,Research_Scholar,Science,Education,E_Book,Renewed,Digital_Kiosk,Vacation_Period,14,21.92,20,2,66,91,1,2,2.38,0.978,0.677,0.84,0.219,0.876,High,No,No,0.492,Medium_Recommendation
USR_10091,BK_50091,Postgraduate,Law,Engineering,E_Book,Reviewed,Digital_Kiosk,Vacation_Period,35,76.57,24,12,8,21,1,3,1.54,0.967,0.595,0.969,0.489,0.381,Low,No,No,0.554,Medium_Recommendation
USR_10092,BK_50092,Faculty,Education,Engineering,Reference_Book,Reviewed,Web_Portal,Even_Semester,4,119.83,2,18,5,83,1,9,1.85,0.536,0.779,0.171,0.368,0.487,Medium,Yes,Yes,0.378,Low_Recommendation
USR_10093,BK_50093,Undergraduate,Medicine,Management,Journal,Borrowed,Library_System,Vacation_Period,29,115.31,34,6,27,92,13,6,3.93,0.792,0.11,0.475,0.533,0.117,Low,No,No,0.646,Medium_Recommendation
USR_10094,BK_50094,Postgraduate,Law,Literature,Printed_Book,Borrowed,Library_System,Odd_Semester,4,49.49,1,20,45,32,3,0,1.44,0.593,0.509,0.29,0.188,0.539,Medium,Yes,No,0.286,Low_Recommendation
USR_10095,BK_50095,Undergraduate,Arts,Management,Printed_Book,Reserved,Library_System,Even_Semester,13,30.9,16,8,41,1,1,11,1.31,0.351,0.937,0.328,0.803,0.843,High,No,No,0.419,Low_Recommendation
USR_10096,BK_50096,Postgraduate,Law,Artificial_Intelligence,Journal,Borrowed,Digital_Kiosk,Vacation_Period,24,159.78,4,3,65,87,4,7,1.17,0.176,0.745,0.165,0.164,0.111,Low,No,No,0.502,Medium_Recommendation
USR_10097,BK_50097,Postgraduate,Education,Management,Journal,Viewed,Web_Portal,Vacation_Period,7,142.82,4,4,8,64,9,5,1.33,0.563,0.909,0.804,0.305,0.978,High,No,Yes,0.488,Medium_Recommendation
USR_10098,BK_50098,Faculty,Science,Law,Printed_Book,Borrowed,Mobile_App,Vacation_Period,10,145.38,11,10,2,118,12,4,4.68,0.569,0.655,0.241,0.139,0.2,Low,No,Yes,0.535,Medium_Recommendation
USR_10099,BK_50099,Postgraduate,Medicine,Social_Science,Printed_Book,Reserved,Mobile_App,Even_Semester,20,28.9,31,18,46,113,20,2,3.69,0.385,0.891,0.333,0.59,0.672,Medium,No,No,0.607,Medium_Recommendation
USR_10100,BK_50100,Postgraduate,Law,Literature,Journal,Viewed,Digital_Kiosk,Vacation_Period,22,137.55,24,21,29,13,17,1,1.53,0.753,0.836,0.292,0.555,0.857,High,No,No,0.553,Medium_Recommendation
USR_10101,BK_50101,Undergraduate,Computer_Science,Education,Journal,Renewed,Web_Portal,Odd_Semester,30,158.21,24,4,8,106,15,7,1.99,0.754,0.993,0.189,0.461,0.82,High,No,No,0.723,High_Recommendation
USR_10102,BK_50102,Faculty,Science,Literature,Journal,Renewed,Mobile_App,Odd_Semester,13,100.66,35,21,58,54,11,0,1.04,0.775,0.783,0.711,0.781,0.858,High,No,No,0.541,Medium_Recommendation
USR_10103,BK_50103,Postgraduate,Medicine,Management,Reference_Book,Reserved,Digital_Kiosk,Even_Semester,4,31.71,3,7,21,74,5,13,2.42,0.815,0.184,0.121,0.533,0.678,Medium,Yes,No,0.433,Low_Recommendation
USR_10104,BK_50104,Faculty,Management,Data_Science,Journal,Viewed,Digital_Kiosk,Vacation_Period,19,18.07,11,9,31,100,18,15,2.49,0.21,0.762,0.312,0.434,0.156,Low,No,No,0.585,Medium_Recommendation
USR_10105,BK_50105,Undergraduate,Medicine,Engineering,Printed_Book,Borrowed,Library_System,Even_Semester,5,93.34,0,14,70,47,13,11,2.54,0.615,0.629,0.472,0.426,0.401,Medium,Yes,Yes,0.43,Low_Recommendation
USR_10106,BK_50106,Research_Scholar,Management,Digital_Library,E_Book,Reserved,Web_Portal,Odd_Semester,29,87.42,19,16,21,74,4,3,1.53,0.173,0.755,0.547,0.493,0.757,High,No,Yes,0.414,Low_Recommendation
USR_10107,BK_50107,Faculty,Computer_Science,Management,Reference_Book,Borrowed,Digital_Kiosk,Odd_Semester,30,56.63,29,21,7,35,13,7,4.9,0.434,0.486,0.86,0.341,0.241,Low,No,Yes,0.518,Medium_Recommendation
USR_10108,BK_50108,Research_Scholar,Computer_Science,Medical_Science,Reference_Book,Reserved,Library_System,Vacation_Period,7,22.87,14,1,32,120,10,3,1.51,0.894,0.454,0.845,0.809,0.662,Medium,No,No,0.541,Medium_Recommendation
USR_10109,BK_50109,Undergraduate,Engineering,Literature,E_Book,Reviewed,Digital_Kiosk,Odd_Semester,19,61.1,20,11,61,41,0,1,3.88,0.476,0.18,0.715,0.591,0.982,High,No,No,0.434,Low_Recommendation
USR_10110,BK_50110,Research_Scholar,Computer_Science,Literature,E_Book,Borrowed,Library_System,Even_Semester,6,46.9,33,0,74,85,4,1,3.66,0.294,0.188,0.876,0.514,0.774,High,No,No,0.421,Low_Recommendation
USR_10111,BK_50111,Postgraduate,Medicine,Social_Science,Journal,Renewed,Web_Portal,Odd_Semester,32,52.48,19,3,15,120,7,4,3.64,0.245,0.33,0.952,0.604,0.776,High,No,No,0.608,Medium_Recommendation
USR_10112,BK_50112,Faculty,Science,Digital_Library,Reference_Book,Viewed,Library_System,Even_Semester,35,26.14,22,17,43,19,4,2,1.78,0.268,0.185,0.421,0.782,0.349,Low,No,No,0.39,Low_Recommendation
USR_10113,BK_50113,Research_Scholar,Law,Education,E_Book,Reserved,Digital_Kiosk,Even_Semester,3,36.56,0,2,3,27,17,10,4.93,0.227,0.282,0.421,0.905,0.689,Medium,Yes,No,0.496,Medium_Recommendation
USR_10114,BK_50114,Postgraduate,Education,Artificial_Intelligence,Journal,Reviewed,Web_Portal,Odd_Semester,21,132.73,33,3,28,102,4,8,1.37,0.126,0.841,0.289,0.441,0.976,High,No,No,0.539,Medium_Recommendation
